headline,clickbait,clickbaitNoise
If Rappers Were Honest About Their Incomes,1,0.95
"Time magazine's 2006 Person of the Year is ""you""",0,0.05
What Gift Should Every Runner Get For Christmas,1,0.95
8 New Types Of Goth That Are Better Than Health Goth,1,0.95
14 Drinks Lindsey Graham Would Drink In The Oval Office,1,0.95
Lewis Hamilton wins 2008 Australian Grand Prix,0,0.05
12 Corporate Mascots From Your Childhood Who Weren't As Cool As They Thought,1,0.95
"Are These Quotes From ""Home Alone"" Or ""Home Alone 2""",1,0.95
Awkward Selfie Stick Prank,1,0.95
17 Gorgeous Teal Pumpkins That Are Anything But Scary,1,0.95
"Prosecutors Appeal Ruling, Delaying Bonds Trial",0,0.05
The Simpsons taken off Venezuelan TV after being called unsuitable,0,0.05
Which Subscription Service Do You Wish You'd Known About Sooner,1,0.95
Here's How To Find Out Your Uber Passenger Rating (If You Really Want To Know),1,0.95
ThumbTack Turns an iPod Into a Recording Device,0,0.05
These DIY Oreo Churros Are Next-Level Glorious,1,0.95
"The ""Broad City"" Season 3 Trailer Is Here And It's Funny AF",1,0.95
18 Boobs That Are Actually Christmas Miracles,1,0.95
Here's All The Evidence That Zayn Malik And Gigi Hadid Could Be Dating,1,0.95
"Speeding ticket paid with 12,000 pennies",0,0.05
"Car bomb in Ciudad Juárez, Mexico kills several, many injured",0,0.05
"Large hoard of Anglo-Saxon gold found in Staffordshire, England",0,0.05
19 Tweets About Relationships That Are So Cute You'll Vomit,1,0.95
Soyuz rocket launches GIOVE-B satellite,0,0.05
Deadly car bomb explosion rocks Beirut,0,0.05
The Hardest Premier League Badge Quiz You'll Ever Take,1,0.95
"As Election Looms in Japan, No Easy Answers for the Winner",0,0.05
"Wikinews interviews Gene Amondson, Prohibition Party presidential nominee",0,0.05
BBC to play 'four to five seconds' of Thatcher protest song,0,0.05
"Equatorial Guinea coup plotters pardoned, released from jail",0,0.05
'Pregnancy pact' grabs international attention for small Massachusetts town,0,0.05
13 Animal Masturbation Facts That Will Make You Feel Better About Being Single AF,1,0.95
"Meet Intel, Software Maker and Rival to Microsoft",0,0.05
Pakistani journalist found dead in home,0,0.05
"A Pug And A Frenchie Recreated ""Lady And The Tramp"" And It Was Beautiful",1,0.95
Aircraft wreckage in Atlantic confirmed to be that of missing Air France flight,0,0.05
Thousands Are Sharing This Inspirational Story By An Amputee Who's A National Athlete,1,0.95
